Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,TIME_DETAIL,Value
2015,A,0,_L_SN_050302_1,,,Y0T14,PT,2019,14.6
2016,A,0,_L_SN_050302_1,,,Y0T14,PT,2019,13.6
2017,A,0,_L_SN_050302_1,,,Y0T14,PT,2019,14.000000000000002
2018,A,0,_L_SN_050302_1,,,Y0T14,PT,2019,14.099999999999998
2019,A,0,_L_SN_050302_1,,,Y0T14,PT,2019,16.1
2015,A,0,_L_SN_050302_1,,,Y15T49,PT,2019,24.2
2016,A,0,_L_SN_050302_1,,,Y15T49,PT,2019,23.0
2017,A,0,_L_SN_050302_1,,,Y15T49,PT,2019,24.0
2018,A,0,_L_SN_050302_1,,,Y15T49,PT,2019,23.0
2019,A,0,_L_SN_050302_1,,,Y15T49,PT,2019,25.2
2015,A,0,_L_SN_050302_1,,F,Y0T14,PT,2019,14.6
2016,A,0,_L_SN_050302_1,,F,Y0T14,PT,2019,13.6
2017,A,0,_L_SN_050302_1,,F,Y0T14,PT,2019,14.000000000000002
2018,A,0,_L_SN_050302_1,,F,Y0T14,PT,2019,14.099999999999998
2019,A,0,_L_SN_050302_1,,F,Y0T14,PT,2019,16.1
2015,A,0,_L_SN_050302_1,,F,Y15T49,PT,2019,24.2
2016,A,0,_L_SN_050302_1,,F,Y15T49,PT,2019,23.0
2017,A,0,_L_SN_050302_1,,F,Y15T49,PT,2019,24.0
2018,A,0,_L_SN_050302_1,,F,Y15T49,PT,2019,23.0
2019,A,0,_L_SN_050302_1,,F,Y15T49,PT,2019,25.2
